Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Yell_July18_Site1z_S129_R1_001	(15.0, 1.0)	(16.0, 27.0)	(17.0, 132.0)	(18.0, 296.0)	(19.0, 562.0)	(20.0, 852.0)	(21.0, 971.0)	(22.0, 1142.0)	(23.0, 1175.0)	(24.0, 1370.0)	(25.0, 1631.0)	(26.0, 2067.0)	(27.0, 2933.0)	(28.0, 4294.0)	(29.0, 6620.0)	(30.0, 11840.0)	(31.0, 27277.0)	(32.0, 53562.0)	(33.0, 29703.0)			
Yell_July18_Site1z_S129_R2_001	(14.0, 4.0)	(15.0, 64.0)	(16.0, 168.0)	(17.0, 240.0)	(18.0, 419.0)	(19.0, 524.0)	(20.0, 739.0)	(21.0, 946.0)	(22.0, 1221.0)	(23.0, 1361.0)	(24.0, 1475.0)	(25.0, 1569.0)	(26.0, 1859.0)	(27.0, 2366.0)	(28.0, 3199.0)	(29.0, 4883.0)	(30.0, 8493.0)	(31.0, 17309.0)	(32.0, 44295.0)	(33.0, 55320.0)	(34.0, 1.0)	
Yell_July18_Site5J_S107_R1_001	(20.0, 1.0)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 2.0)	(26.0, 0.0)	(27.0, 1.0)	(28.0, 2.0)	(29.0, 5.0)	(30.0, 7.0)	(31.0, 14.0)	(32.0, 27.0)	(33.0, 9.0)								
Yell_July18_Site5J_S107_R2_001	(21.0, 1.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 1.0)	(29.0, 1.0)	(30.0, 4.0)	(31.0, 6.0)	(32.0, 21.0)	(33.0, 34.0)									
Yell_July18_Site5L_S109_R1_001	(15.0, 4.0)	(16.0, 52.0)	(17.0, 170.0)	(18.0, 388.0)	(19.0, 566.0)	(20.0, 823.0)	(21.0, 1082.0)	(22.0, 1164.0)	(23.0, 1213.0)	(24.0, 1363.0)	(25.0, 1652.0)	(26.0, 2133.0)	(27.0, 2748.0)	(28.0, 3800.0)	(29.0, 5541.0)	(30.0, 9114.0)	(31.0, 20900.0)	(32.0, 62866.0)	(33.0, 72139.0)			
Yell_July18_Site5L_S109_R2_001	(14.0, 13.0)	(15.0, 160.0)	(16.0, 490.0)	(17.0, 860.0)	(18.0, 3863.0)	(19.0, 3587.0)	(20.0, 1331.0)	(21.0, 1346.0)	(22.0, 1528.0)	(23.0, 1736.0)	(24.0, 1814.0)	(25.0, 2039.0)	(26.0, 2484.0)	(27.0, 3280.0)	(28.0, 4531.0)	(29.0, 7131.0)	(30.0, 13019.0)	(31.0, 26615.0)	(32.0, 57507.0)	(33.0, 54384.0)		
Yell_July18_Site5a_S87_R1_001	(15.0, 5.0)	(16.0, 26.0)	(17.0, 143.0)	(18.0, 335.0)	(19.0, 473.0)	(20.0, 650.0)	(21.0, 845.0)	(22.0, 954.0)	(23.0, 994.0)	(24.0, 1213.0)	(25.0, 1447.0)	(26.0, 1950.0)	(27.0, 2487.0)	(28.0, 3619.0)	(29.0, 5223.0)	(30.0, 8961.0)	(31.0, 19740.0)	(32.0, 55335.0)	(33.0, 56179.0)			
Yell_July18_Site5a_S87_R2_001	(14.0, 14.0)	(15.0, 152.0)	(16.0, 478.0)	(17.0, 676.0)	(18.0, 1867.0)	(19.0, 1414.0)	(20.0, 783.0)	(21.0, 887.0)	(22.0, 1060.0)	(23.0, 1227.0)	(24.0, 1375.0)	(25.0, 1485.0)	(26.0, 1801.0)	(27.0, 2231.0)	(28.0, 3037.0)	(29.0, 4435.0)	(30.0, 7312.0)	(31.0, 14568.0)	(32.0, 47606.0)	(33.0, 68167.0)	(34.0, 4.0)	
Yell_July18_Site5aa_S132_R1_001	(14.0, 1.0)	(15.0, 8.0)	(16.0, 102.0)	(17.0, 460.0)	(18.0, 1061.0)	(19.0, 1609.0)	(20.0, 2206.0)	(21.0, 2522.0)	(22.0, 2664.0)	(23.0, 2893.0)	(24.0, 3210.0)	(25.0, 4137.0)	(26.0, 6074.0)	(27.0, 8823.0)	(28.0, 12793.0)	(29.0, 20065.0)	(30.0, 38413.0)	(31.0, 77208.0)	(32.0, 103232.0)	(33.0, 24660.0)		
Yell_July18_Site5aa_S132_R2_001	(13.0, 1.0)	(14.0, 16.0)	(15.0, 144.0)	(16.0, 364.0)	(17.0, 674.0)	(18.0, 1430.0)	(19.0, 1470.0)	(20.0, 1675.0)	(21.0, 2137.0)	(22.0, 2817.0)	(23.0, 3235.0)	(24.0, 3409.0)	(25.0, 3809.0)	(26.0, 4838.0)	(27.0, 6460.0)	(28.0, 9462.0)	(29.0, 15011.0)	(30.0, 27066.0)	(31.0, 51756.0)	(32.0, 101461.0)	(33.0, 74905.0)	(34.0, 1.0)
Yell_July18_Site5b_S88_R1_001	(15.0, 7.0)	(16.0, 71.0)	(17.0, 222.0)	(18.0, 492.0)	(19.0, 777.0)	(20.0, 1111.0)	(21.0, 1324.0)	(22.0, 1510.0)	(23.0, 1577.0)	(24.0, 1766.0)	(25.0, 2090.0)	(26.0, 2658.0)	(27.0, 3520.0)	(28.0, 4714.0)	(29.0, 6926.0)	(30.0, 11348.0)	(31.0, 26055.0)	(32.0, 75716.0)	(33.0, 61216.0)			
Yell_July18_Site5b_S88_R2_001	(14.0, 9.0)	(15.0, 156.0)	(16.0, 484.0)	(17.0, 849.0)	(18.0, 4043.0)	(19.0, 3699.0)	(20.0, 1400.0)	(21.0, 1373.0)	(22.0, 1642.0)	(23.0, 1737.0)	(24.0, 1922.0)	(25.0, 2040.0)	(26.0, 2486.0)	(27.0, 3224.0)	(28.0, 4414.0)	(29.0, 6708.0)	(30.0, 11725.0)	(31.0, 23155.0)	(32.0, 56123.0)	(33.0, 75873.0)	(34.0, 38.0)	
Yell_July18_Site5bb_S133_R1_001	(15.0, 7.0)	(16.0, 121.0)	(17.0, 466.0)	(18.0, 1106.0)	(19.0, 1877.0)	(20.0, 2778.0)	(21.0, 2986.0)	(22.0, 2909.0)	(23.0, 3088.0)	(24.0, 3247.0)	(25.0, 3774.0)	(26.0, 4834.0)	(27.0, 6508.0)	(28.0, 8894.0)	(29.0, 13017.0)	(30.0, 22230.0)	(31.0, 52555.0)	(32.0, 148226.0)	(33.0, 102459.0)			
Yell_July18_Site5bb_S133_R2_001	(14.0, 26.0)	(15.0, 298.0)	(16.0, 662.0)	(17.0, 1052.0)	(18.0, 1933.0)	(19.0, 2190.0)	(20.0, 2710.0)	(21.0, 3470.0)	(22.0, 3820.0)	(23.0, 4149.0)	(24.0, 4296.0)	(25.0, 4791.0)	(26.0, 5468.0)	(27.0, 7165.0)	(28.0, 10163.0)	(29.0, 15477.0)	(30.0, 28858.0)	(31.0, 59686.0)	(32.0, 117737.0)	(33.0, 107130.0)	(34.0, 1.0)	
Yell_July18_Site5c_S89_R1_001	(15.0, 1.0)	(16.0, 15.0)	(17.0, 123.0)	(18.0, 273.0)	(19.0, 416.0)	(20.0, 525.0)	(21.0, 482.0)	(22.0, 582.0)	(23.0, 620.0)	(24.0, 705.0)	(25.0, 1003.0)	(26.0, 1504.0)	(27.0, 2143.0)	(28.0, 3495.0)	(29.0, 5720.0)	(30.0, 10959.0)	(31.0, 17097.0)	(32.0, 14000.0)	(33.0, 2149.0)			
Yell_July18_Site5c_S89_R2_001	(14.0, 2.0)	(15.0, 53.0)	(16.0, 107.0)	(17.0, 200.0)	(18.0, 1004.0)	(19.0, 861.0)	(20.0, 317.0)	(21.0, 349.0)	(22.0, 411.0)	(23.0, 469.0)	(24.0, 523.0)	(25.0, 583.0)	(26.0, 729.0)	(27.0, 923.0)	(28.0, 1487.0)	(29.0, 2243.0)	(30.0, 4381.0)	(31.0, 9235.0)	(32.0, 19535.0)	(33.0, 18400.0)		
Yell_July18_Site5cc_S134_R1_001	(14.0, 1.0)	(15.0, 18.0)	(16.0, 139.0)	(17.0, 608.0)	(18.0, 1193.0)	(19.0, 1963.0)	(20.0, 2957.0)	(21.0, 3416.0)	(22.0, 3445.0)	(23.0, 3871.0)	(24.0, 4228.0)	(25.0, 5293.0)	(26.0, 7577.0)	(27.0, 11411.0)	(28.0, 17607.0)	(29.0, 30235.0)	(30.0, 76973.0)	(31.0, 125473.0)	(32.0, 106243.0)	(33.0, 25613.0)		
Yell_July18_Site5cc_S134_R2_001	(14.0, 21.0)	(15.0, 414.0)	(16.0, 1187.0)	(17.0, 2332.0)	(18.0, 12134.0)	(19.0, 13696.0)	(20.0, 3853.0)	(21.0, 3311.0)	(22.0, 3713.0)	(23.0, 4201.0)	(24.0, 4426.0)	(25.0, 4900.0)	(26.0, 5676.0)	(27.0, 7553.0)	(28.0, 10282.0)	(29.0, 15710.0)	(30.0, 27462.0)	(31.0, 52473.0)	(32.0, 115508.0)	(33.0, 139408.0)	(34.0, 4.0)	
Yell_July18_Site5e_S95_R1_001	(15.0, 8.0)	(16.0, 80.0)	(17.0, 268.0)	(18.0, 760.0)	(19.0, 1276.0)	(20.0, 1958.0)	(21.0, 2234.0)	(22.0, 2561.0)	(23.0, 2575.0)	(24.0, 2776.0)	(25.0, 3120.0)	(26.0, 4020.0)	(27.0, 5196.0)	(28.0, 7095.0)	(29.0, 10006.0)	(30.0, 16389.0)	(31.0, 34668.0)	(32.0, 119356.0)	(33.0, 134867.0)			
Yell_July18_Site5e_S95_R2_001	(14.0, 14.0)	(15.0, 166.0)	(16.0, 314.0)	(17.0, 395.0)	(18.0, 572.0)	(19.0, 889.0)	(20.0, 1612.0)	(21.0, 2245.0)	(22.0, 2962.0)	(23.0, 3391.0)	(24.0, 3484.0)	(25.0, 3699.0)	(26.0, 4019.0)	(27.0, 5053.0)	(28.0, 6724.0)	(29.0, 9647.0)	(30.0, 16004.0)	(31.0, 31341.0)	(32.0, 102273.0)	(33.0, 154409.0)		
Yell_July18_Site5ee_S136_R1_001	(15.0, 6.0)	(16.0, 77.0)	(17.0, 355.0)	(18.0, 788.0)	(19.0, 1164.0)	(20.0, 1731.0)	(21.0, 2077.0)	(22.0, 2278.0)	(23.0, 2398.0)	(24.0, 2631.0)	(25.0, 3136.0)	(26.0, 4266.0)	(27.0, 5772.0)	(28.0, 7818.0)	(29.0, 11362.0)	(30.0, 19156.0)	(31.0, 41864.0)	(32.0, 115318.0)	(33.0, 99889.0)			
Yell_July18_Site5ee_S136_R2_001	(14.0, 16.0)	(15.0, 224.0)	(16.0, 534.0)	(17.0, 979.0)	(18.0, 2250.0)	(19.0, 2267.0)	(20.0, 1696.0)	(21.0, 1990.0)	(22.0, 2372.0)	(23.0, 2758.0)	(24.0, 3033.0)	(25.0, 3333.0)	(26.0, 4013.0)	(27.0, 5053.0)	(28.0, 7025.0)	(29.0, 10530.0)	(30.0, 17768.0)	(31.0, 35472.0)	(32.0, 96184.0)	(33.0, 124587.0)	(34.0, 2.0)	
Yell_July18_Site5f_S96_R1_001	(15.0, 3.0)	(16.0, 24.0)	(17.0, 60.0)	(18.0, 141.0)	(19.0, 158.0)	(20.0, 171.0)	(21.0, 189.0)	(22.0, 218.0)	(23.0, 290.0)	(24.0, 325.0)	(25.0, 556.0)	(26.0, 702.0)	(27.0, 959.0)	(28.0, 1183.0)	(29.0, 1348.0)	(30.0, 1205.0)	(31.0, 843.0)	(32.0, 354.0)	(33.0, 22.0)			
Yell_July18_Site5f_S96_R2_001	(15.0, 11.0)	(16.0, 26.0)	(17.0, 29.0)	(18.0, 147.0)	(19.0, 168.0)	(20.0, 52.0)	(21.0, 31.0)	(22.0, 45.0)	(23.0, 60.0)	(24.0, 60.0)	(25.0, 65.0)	(26.0, 85.0)	(27.0, 153.0)	(28.0, 198.0)	(29.0, 417.0)	(30.0, 811.0)	(31.0, 1615.0)	(32.0, 3267.0)	(33.0, 1511.0)			
Yell_July18_Site5ff_S137_R1_001	(14.0, 1.0)	(15.0, 18.0)	(16.0, 157.0)	(17.0, 594.0)	(18.0, 1377.0)	(19.0, 2268.0)	(20.0, 3173.0)	(21.0, 3463.0)	(22.0, 3464.0)	(23.0, 3783.0)	(24.0, 4158.0)	(25.0, 5573.0)	(26.0, 8139.0)	(27.0, 12665.0)	(28.0, 21291.0)	(29.0, 43941.0)	(30.0, 130287.0)	(31.0, 82687.0)	(32.0, 67176.0)	(33.0, 30256.0)		
Yell_July18_Site5ff_S137_R2_001	(13.0, 4.0)	(14.0, 28.0)	(15.0, 368.0)	(16.0, 829.0)	(17.0, 1580.0)	(18.0, 3889.0)	(19.0, 3831.0)	(20.0, 3276.0)	(21.0, 3780.0)	(22.0, 4448.0)	(23.0, 4726.0)	(24.0, 5059.0)	(25.0, 5632.0)	(26.0, 6826.0)	(27.0, 8990.0)	(28.0, 12730.0)	(29.0, 19428.0)	(30.0, 33994.0)	(31.0, 65904.0)	(32.0, 120470.0)	(33.0, 118674.0)	(34.0, 5.0)
Yell_July18_Site5g_S97_R1_001	(15.0, 4.0)	(16.0, 35.0)	(17.0, 129.0)	(18.0, 249.0)	(19.0, 319.0)	(20.0, 386.0)	(21.0, 413.0)	(22.0, 503.0)	(23.0, 618.0)	(24.0, 716.0)	(25.0, 890.0)	(26.0, 1120.0)	(27.0, 1552.0)	(28.0, 2093.0)	(29.0, 3508.0)	(30.0, 7129.0)	(31.0, 20504.0)	(32.0, 48133.0)	(33.0, 19481.0)			
Yell_July18_Site5g_S97_R2_001	(14.0, 8.0)	(15.0, 108.0)	(16.0, 253.0)	(17.0, 469.0)	(18.0, 970.0)	(19.0, 1049.0)	(20.0, 772.0)	(21.0, 881.0)	(22.0, 878.0)	(23.0, 990.0)	(24.0, 1159.0)	(25.0, 1333.0)	(26.0, 1672.0)	(27.0, 2346.0)	(28.0, 3607.0)	(29.0, 6350.0)	(30.0, 13451.0)	(31.0, 29293.0)	(32.0, 34367.0)	(33.0, 7821.0)	(34.0, 5.0)	
Yell_July18_Site5h_S98_R1_001	(15.0, 4.0)	(16.0, 64.0)	(17.0, 379.0)	(18.0, 873.0)	(19.0, 1527.0)	(20.0, 2405.0)	(21.0, 2918.0)	(22.0, 3194.0)	(23.0, 3380.0)	(24.0, 3623.0)	(25.0, 4099.0)	(26.0, 5394.0)	(27.0, 7313.0)	(28.0, 9604.0)	(29.0, 13779.0)	(30.0, 21446.0)	(31.0, 42568.0)	(32.0, 132688.0)	(33.0, 122049.0)			
Yell_July18_Site5h_S98_R2_001	(14.0, 19.0)	(15.0, 160.0)	(16.0, 365.0)	(17.0, 494.0)	(18.0, 673.0)	(19.0, 1098.0)	(20.0, 1774.0)	(21.0, 2618.0)	(22.0, 3462.0)	(23.0, 3839.0)	(24.0, 4040.0)	(25.0, 4247.0)	(26.0, 4918.0)	(27.0, 5889.0)	(28.0, 8119.0)	(29.0, 11565.0)	(30.0, 18404.0)	(31.0, 35234.0)	(32.0, 112119.0)	(33.0, 158261.0)	(34.0, 9.0)	
Yell_July18_Site5k_S108_R1_001	(15.0, 2.0)	(16.0, 14.0)	(17.0, 48.0)	(18.0, 125.0)	(19.0, 175.0)	(20.0, 277.0)	(21.0, 331.0)	(22.0, 393.0)	(23.0, 382.0)	(24.0, 456.0)	(25.0, 497.0)	(26.0, 690.0)	(27.0, 848.0)	(28.0, 1228.0)	(29.0, 1865.0)	(30.0, 3299.0)	(31.0, 7302.0)	(32.0, 22531.0)	(33.0, 21721.0)			
Yell_July18_Site5k_S108_R2_001	(14.0, 1.0)	(15.0, 88.0)	(16.0, 311.0)	(17.0, 564.0)	(18.0, 2332.0)	(19.0, 2081.0)	(20.0, 704.0)	(21.0, 535.0)	(22.0, 580.0)	(23.0, 600.0)	(24.0, 720.0)	(25.0, 741.0)	(26.0, 906.0)	(27.0, 1251.0)	(28.0, 1674.0)	(29.0, 2648.0)	(30.0, 4615.0)	(31.0, 8762.0)	(32.0, 17272.0)	(33.0, 15798.0)	(34.0, 1.0)	
Yell_July18_Site5m_S110_R1_001	(15.0, 4.0)	(16.0, 26.0)	(17.0, 88.0)	(18.0, 203.0)	(19.0, 313.0)	(20.0, 432.0)	(21.0, 521.0)	(22.0, 611.0)	(23.0, 652.0)	(24.0, 751.0)	(25.0, 802.0)	(26.0, 1076.0)	(27.0, 1426.0)	(28.0, 1944.0)	(29.0, 2774.0)	(30.0, 5129.0)	(31.0, 11591.0)	(32.0, 38865.0)	(33.0, 54823.0)			
Yell_July18_Site5m_S110_R2_001	(14.0, 3.0)	(15.0, 85.0)	(16.0, 237.0)	(17.0, 454.0)	(18.0, 1285.0)	(19.0, 1141.0)	(20.0, 619.0)	(21.0, 722.0)	(22.0, 890.0)	(23.0, 945.0)	(24.0, 1046.0)	(25.0, 1137.0)	(26.0, 1449.0)	(27.0, 1844.0)	(28.0, 2671.0)	(29.0, 4094.0)	(30.0, 7798.0)	(31.0, 15916.0)	(32.0, 35796.0)	(33.0, 43898.0)	(34.0, 1.0)	
Yell_July18_Site5n_S115_R1_001	(15.0, 5.0)	(16.0, 40.0)	(17.0, 158.0)	(18.0, 287.0)	(19.0, 514.0)	(20.0, 700.0)	(21.0, 850.0)	(22.0, 943.0)	(23.0, 937.0)	(24.0, 1084.0)	(25.0, 1256.0)	(26.0, 1793.0)	(27.0, 2382.0)	(28.0, 3416.0)	(29.0, 5105.0)	(30.0, 9560.0)	(31.0, 21754.0)	(32.0, 43384.0)	(33.0, 16695.0)			
Yell_July18_Site5n_S115_R2_001	(14.0, 8.0)	(15.0, 82.0)	(16.0, 188.0)	(17.0, 302.0)	(18.0, 754.0)	(19.0, 810.0)	(20.0, 682.0)	(21.0, 843.0)	(22.0, 964.0)	(23.0, 1225.0)	(24.0, 1248.0)	(25.0, 1427.0)	(26.0, 1628.0)	(27.0, 2070.0)	(28.0, 2938.0)	(29.0, 4389.0)	(30.0, 7800.0)	(31.0, 15378.0)	(32.0, 34410.0)	(33.0, 33700.0)	(34.0, 17.0)	
Yell_July18_Site5o_S116_R1_001	(15.0, 6.0)	(16.0, 46.0)	(17.0, 173.0)	(18.0, 346.0)	(19.0, 601.0)	(20.0, 852.0)	(21.0, 1007.0)	(22.0, 986.0)	(23.0, 1059.0)	(24.0, 1144.0)	(25.0, 1576.0)	(26.0, 2168.0)	(27.0, 3168.0)	(28.0, 4836.0)	(29.0, 8491.0)	(30.0, 20122.0)	(31.0, 30918.0)	(32.0, 26999.0)	(33.0, 5750.0)			
Yell_July18_Site5o_S116_R2_001	(14.0, 8.0)	(15.0, 83.0)	(16.0, 158.0)	(17.0, 240.0)	(18.0, 449.0)	(19.0, 538.0)	(20.0, 638.0)	(21.0, 877.0)	(22.0, 1078.0)	(23.0, 1191.0)	(24.0, 1256.0)	(25.0, 1420.0)	(26.0, 1614.0)	(27.0, 2171.0)	(28.0, 3160.0)	(29.0, 4908.0)	(30.0, 8678.0)	(31.0, 17801.0)	(32.0, 34645.0)	(33.0, 29335.0)		
Yell_July18_Site5p_S121_R1_001	(15.0, 2.0)	(16.0, 23.0)	(17.0, 121.0)	(18.0, 310.0)	(19.0, 501.0)	(20.0, 713.0)	(21.0, 855.0)	(22.0, 883.0)	(23.0, 974.0)	(24.0, 1095.0)	(25.0, 1343.0)	(26.0, 1884.0)	(27.0, 2641.0)	(28.0, 3676.0)	(29.0, 5525.0)	(30.0, 10728.0)	(31.0, 25784.0)	(32.0, 61673.0)	(33.0, 32060.0)			
Yell_July18_Site5p_S121_R2_001	(14.0, 7.0)	(15.0, 100.0)	(16.0, 332.0)	(17.0, 565.0)	(18.0, 1949.0)	(19.0, 1697.0)	(20.0, 866.0)	(21.0, 913.0)	(22.0, 1078.0)	(23.0, 1207.0)	(24.0, 1325.0)	(25.0, 1502.0)	(26.0, 1810.0)	(27.0, 2229.0)	(28.0, 3297.0)	(29.0, 4933.0)	(30.0, 8959.0)	(31.0, 18087.0)	(32.0, 41297.0)	(33.0, 58638.0)		
Yell_July18_Site5q_S122_R1_001	(15.0, 12.0)	(16.0, 115.0)	(17.0, 364.0)	(18.0, 540.0)	(19.0, 710.0)	(20.0, 876.0)	(21.0, 1085.0)	(22.0, 1228.0)	(23.0, 1475.0)	(24.0, 1679.0)	(25.0, 2053.0)	(26.0, 2653.0)	(27.0, 3453.0)	(28.0, 5088.0)	(29.0, 8756.0)	(30.0, 17372.0)	(31.0, 38147.0)	(32.0, 58366.0)	(33.0, 14602.0)			
Yell_July18_Site5q_S122_R2_001	(14.0, 4.0)	(15.0, 59.0)	(16.0, 227.0)	(17.0, 527.0)	(18.0, 2049.0)	(19.0, 2174.0)	(20.0, 900.0)	(21.0, 869.0)	(22.0, 930.0)	(23.0, 1008.0)	(24.0, 1175.0)	(25.0, 1510.0)	(26.0, 2069.0)	(27.0, 2913.0)	(28.0, 4550.0)	(29.0, 8361.0)	(30.0, 17702.0)	(31.0, 38343.0)	(32.0, 47578.0)	(33.0, 25607.0)	(34.0, 19.0)	
Yell_July18_Site5r_S123_R1_001	(15.0, 4.0)	(16.0, 31.0)	(17.0, 170.0)	(18.0, 390.0)	(19.0, 631.0)	(20.0, 991.0)	(21.0, 1224.0)	(22.0, 1314.0)	(23.0, 1453.0)	(24.0, 1554.0)	(25.0, 1837.0)	(26.0, 2440.0)	(27.0, 3346.0)	(28.0, 4581.0)	(29.0, 6902.0)	(30.0, 11323.0)	(31.0, 25848.0)	(32.0, 71343.0)	(33.0, 61080.0)			
Yell_July18_Site5r_S123_R2_001	(13.0, 1.0)	(14.0, 8.0)	(15.0, 96.0)	(16.0, 223.0)	(17.0, 391.0)	(18.0, 635.0)	(19.0, 841.0)	(20.0, 1021.0)	(21.0, 1443.0)	(22.0, 1701.0)	(23.0, 2055.0)	(24.0, 2255.0)	(25.0, 2471.0)	(26.0, 2804.0)	(27.0, 3395.0)	(28.0, 4619.0)	(29.0, 6792.0)	(30.0, 12217.0)	(31.0, 25229.0)	(32.0, 62773.0)	(33.0, 65491.0)	(34.0, 1.0)
Yell_July18_Site5s_S124_R1_001	(15.0, 8.0)	(16.0, 35.0)	(17.0, 148.0)	(18.0, 290.0)	(19.0, 543.0)	(20.0, 827.0)	(21.0, 884.0)	(22.0, 961.0)	(23.0, 1028.0)	(24.0, 1113.0)	(25.0, 1382.0)	(26.0, 1773.0)	(27.0, 2234.0)	(28.0, 3185.0)	(29.0, 4647.0)	(30.0, 7928.0)	(31.0, 18234.0)	(32.0, 50342.0)	(33.0, 38283.0)			
Yell_July18_Site5s_S124_R2_001	(14.0, 11.0)	(15.0, 131.0)	(16.0, 327.0)	(17.0, 670.0)	(18.0, 3264.0)	(19.0, 3783.0)	(20.0, 1356.0)	(21.0, 1016.0)	(22.0, 1159.0)	(23.0, 1209.0)	(24.0, 1318.0)	(25.0, 1410.0)	(26.0, 1712.0)	(27.0, 2231.0)	(28.0, 3087.0)	(29.0, 4809.0)	(30.0, 8611.0)	(31.0, 17459.0)	(32.0, 37190.0)	(33.0, 43090.0)	(34.0, 2.0)	
Yell_July18_Site5t_S125_R1_001	(14.0, 2.0)	(15.0, 7.0)	(16.0, 92.0)	(17.0, 453.0)	(18.0, 999.0)	(19.0, 1686.0)	(20.0, 2369.0)	(21.0, 2615.0)	(22.0, 2633.0)	(23.0, 2759.0)	(24.0, 3073.0)	(25.0, 4049.0)	(26.0, 5629.0)	(27.0, 7919.0)	(28.0, 12089.0)	(29.0, 20622.0)	(30.0, 48024.0)	(31.0, 101545.0)	(32.0, 96530.0)	(33.0, 25991.0)		
Yell_July18_Site5u_S126_R1_001	(15.0, 4.0)	(16.0, 42.0)	(17.0, 132.0)	(18.0, 253.0)	(19.0, 428.0)	(20.0, 570.0)	(21.0, 687.0)	(22.0, 692.0)	(23.0, 733.0)	(24.0, 791.0)	(25.0, 923.0)	(26.0, 1172.0)	(27.0, 1470.0)	(28.0, 2073.0)	(29.0, 2929.0)	(30.0, 4938.0)	(31.0, 10735.0)	(32.0, 31600.0)	(33.0, 26814.0)			
Yell_July18_Site5u_S126_R2_001	(14.0, 4.0)	(15.0, 73.0)	(16.0, 158.0)	(17.0, 285.0)	(18.0, 667.0)	(19.0, 647.0)	(20.0, 495.0)	(21.0, 711.0)	(22.0, 859.0)	(23.0, 922.0)	(24.0, 938.0)	(25.0, 1025.0)	(26.0, 1223.0)	(27.0, 1661.0)	(28.0, 2280.0)	(29.0, 3595.0)	(30.0, 6777.0)	(31.0, 13966.0)	(32.0, 26747.0)	(33.0, 23953.0)		
Yell_July18_Site5v_S127_R1_001	(15.0, 2.0)	(16.0, 33.0)	(17.0, 123.0)	(18.0, 273.0)	(19.0, 408.0)	(20.0, 625.0)	(21.0, 771.0)	(22.0, 825.0)	(23.0, 816.0)	(24.0, 882.0)	(25.0, 1051.0)	(26.0, 1307.0)	(27.0, 1676.0)	(28.0, 2326.0)	(29.0, 3234.0)	(30.0, 5161.0)	(31.0, 10503.0)	(32.0, 26674.0)	(33.0, 26482.0)			
Yell_July18_Site5v_S127_R2_001	(14.0, 9.0)	(15.0, 77.0)	(16.0, 177.0)	(17.0, 345.0)	(18.0, 504.0)	(19.0, 613.0)	(20.0, 716.0)	(21.0, 926.0)	(22.0, 1092.0)	(23.0, 1129.0)	(24.0, 1230.0)	(25.0, 1306.0)	(26.0, 1467.0)	(27.0, 1890.0)	(28.0, 2519.0)	(29.0, 3608.0)	(30.0, 5590.0)	(31.0, 10337.0)	(32.0, 24453.0)	(33.0, 25184.0)		
Yell_July18_Site5w_S128_R1_001	(30.0, 1.0)	(31.0, 2.0)	(32.0, 5.0)	(33.0, 5.0)																		
Yell_July18_Site5w_S128_R2_001	(30.0, 1.0)	(31.0, 3.0)	(32.0, 6.0)	(33.0, 3.0)																		
Yell_July18_Site5z_S131_R1_001	(15.0, 20.0)	(16.0, 184.0)	(17.0, 828.0)	(18.0, 1732.0)	(19.0, 2906.0)	(20.0, 4071.0)	(21.0, 4473.0)	(22.0, 4439.0)	(23.0, 4625.0)	(24.0, 5066.0)	(25.0, 6231.0)	(26.0, 8549.0)	(27.0, 11699.0)	(28.0, 17004.0)	(29.0, 26329.0)	(30.0, 51968.0)	(31.0, 118739.0)	(32.0, 179519.0)	(33.0, 70478.0)			
Yell_July18_Site5z_S131_R2_001	(13.0, 1.0)	(14.0, 31.0)	(15.0, 406.0)	(16.0, 1006.0)	(17.0, 2098.0)	(18.0, 5447.0)	(19.0, 5240.0)	(20.0, 4188.0)	(21.0, 5216.0)	(22.0, 5856.0)	(23.0, 6605.0)	(24.0, 6768.0)	(25.0, 7327.0)	(26.0, 8594.0)	(27.0, 11323.0)	(28.0, 15837.0)	(29.0, 24929.0)	(30.0, 44854.0)	(31.0, 87212.0)	(32.0, 152784.0)	(33.0, 123128.0)	(34.0, 10.0)
