Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Yell_July18_Site1z_S129_L001_R1	(15.0, 4.0)	(16.0, 108.0)	(17.0, 355.0)	(18.0, 541.0)	(19.0, 573.0)	(20.0, 527.0)	(21.0, 670.0)	(22.0, 708.0)	(23.0, 810.0)	(24.0, 839.0)	(25.0, 973.0)	(26.0, 1036.0)	(27.0, 1232.0)	(28.0, 1597.0)	(29.0, 2347.0)	(30.0, 4296.0)	(31.0, 8955.0)	(32.0, 21121.0)	(33.0, 81369.0)	(34.0, 17800.0)
Yell_July18_Site1z_S129_L001_R2	(15.0, 35.0)	(16.0, 174.0)	(17.0, 336.0)	(18.0, 559.0)	(19.0, 700.0)	(20.0, 698.0)	(21.0, 754.0)	(22.0, 878.0)	(23.0, 1058.0)	(24.0, 1187.0)	(25.0, 1390.0)	(26.0, 1502.0)	(27.0, 1663.0)	(28.0, 2163.0)	(29.0, 3516.0)	(30.0, 6358.0)	(31.0, 12393.0)	(32.0, 22615.0)	(33.0, 79662.0)	(34.0, 8220.0)
Yell_July18_Site5J_S107_L001_R1	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 2.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 1.0)	(29.0, 1.0)	(30.0, 4.0)	(31.0, 3.0)	(32.0, 5.0)	(33.0, 45.0)	(34.0, 7.0)	
Yell_July18_Site5J_S107_L001_R2	(19.0, 2.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 2.0)	(30.0, 2.0)	(31.0, 4.0)	(32.0, 13.0)	(33.0, 41.0)	(34.0, 5.0)				
Yell_July18_Site5L_S109_L001_R1	(15.0, 7.0)	(16.0, 133.0)	(17.0, 387.0)	(18.0, 585.0)	(19.0, 695.0)	(20.0, 701.0)	(21.0, 795.0)	(22.0, 801.0)	(23.0, 894.0)	(24.0, 997.0)	(25.0, 1143.0)	(26.0, 1362.0)	(27.0, 1607.0)	(28.0, 2234.0)	(29.0, 3426.0)	(30.0, 6146.0)	(31.0, 15249.0)	(32.0, 38216.0)	(33.0, 87685.0)	(34.0, 22959.0)
Yell_July18_Site5L_S109_L001_R2	(15.0, 124.0)	(16.0, 599.0)	(17.0, 3068.0)	(18.0, 3692.0)	(19.0, 1349.0)	(20.0, 1093.0)	(21.0, 1030.0)	(22.0, 1109.0)	(23.0, 1373.0)	(24.0, 1500.0)	(25.0, 1843.0)	(26.0, 2105.0)	(27.0, 2578.0)	(28.0, 3538.0)	(29.0, 5610.0)	(30.0, 10844.0)	(31.0, 21610.0)	(32.0, 33287.0)	(33.0, 81150.0)	(34.0, 8520.0)
Yell_July18_Site5a_S87_L001_R1	(15.0, 9.0)	(16.0, 125.0)	(17.0, 315.0)	(18.0, 459.0)	(19.0, 462.0)	(20.0, 497.0)	(21.0, 588.0)	(22.0, 643.0)	(23.0, 714.0)	(24.0, 827.0)	(25.0, 858.0)	(26.0, 986.0)	(27.0, 1199.0)	(28.0, 1638.0)	(29.0, 2408.0)	(30.0, 4102.0)	(31.0, 8098.0)	(32.0, 16803.0)	(33.0, 90348.0)	(34.0, 28211.0)
Yell_July18_Site5a_S87_L001_R2	(15.0, 108.0)	(16.0, 504.0)	(17.0, 1575.0)	(18.0, 1504.0)	(19.0, 804.0)	(20.0, 759.0)	(21.0, 681.0)	(22.0, 733.0)	(23.0, 1010.0)	(24.0, 1139.0)	(25.0, 1282.0)	(26.0, 1448.0)	(27.0, 1649.0)	(28.0, 2146.0)	(29.0, 3055.0)	(30.0, 5111.0)	(31.0, 9769.0)	(32.0, 22400.0)	(33.0, 97677.0)	(34.0, 5936.0)
Yell_July18_Site5aa_S132_L001_R1	(15.0, 16.0)	(16.0, 288.0)	(17.0, 992.0)	(18.0, 1341.0)	(19.0, 1407.0)	(20.0, 1624.0)	(21.0, 1719.0)	(22.0, 1812.0)	(23.0, 2002.0)	(24.0, 2266.0)	(25.0, 2424.0)	(26.0, 2850.0)	(27.0, 3564.0)	(28.0, 4741.0)	(29.0, 7657.0)	(30.0, 14499.0)	(31.0, 33182.0)	(32.0, 61031.0)	(33.0, 148334.0)	(34.0, 18800.0)
Yell_July18_Site5aa_S132_L001_R2	(15.0, 80.0)	(16.0, 410.0)	(17.0, 1110.0)	(18.0, 1396.0)	(19.0, 1544.0)	(20.0, 1653.0)	(21.0, 1795.0)	(22.0, 1929.0)	(23.0, 2349.0)	(24.0, 2743.0)	(25.0, 3255.0)	(26.0, 4063.0)	(27.0, 5315.0)	(28.0, 6989.0)	(29.0, 11645.0)	(30.0, 21994.0)	(31.0, 39064.0)	(32.0, 52926.0)	(33.0, 142318.0)	(34.0, 7971.0)
Yell_July18_Site5b_S88_L001_R1	(15.0, 10.0)	(16.0, 259.0)	(17.0, 586.0)	(18.0, 809.0)	(19.0, 775.0)	(20.0, 856.0)	(21.0, 869.0)	(22.0, 1013.0)	(23.0, 1023.0)	(24.0, 1124.0)	(25.0, 1383.0)	(26.0, 1635.0)	(27.0, 1922.0)	(28.0, 2679.0)	(29.0, 4156.0)	(30.0, 7541.0)	(31.0, 17248.0)	(32.0, 36979.0)	(33.0, 96085.0)	(34.0, 23393.0)
Yell_July18_Site5b_S88_L001_R2	(15.0, 115.0)	(16.0, 561.0)	(17.0, 3216.0)	(18.0, 3782.0)	(19.0, 1393.0)	(20.0, 1180.0)	(21.0, 1079.0)	(22.0, 1149.0)	(23.0, 1356.0)	(24.0, 1653.0)	(25.0, 1796.0)	(26.0, 2095.0)	(27.0, 2435.0)	(28.0, 3362.0)	(29.0, 5210.0)	(30.0, 9264.0)	(31.0, 17775.0)	(32.0, 31702.0)	(33.0, 103563.0)	(34.0, 7659.0)
Yell_July18_Site5bb_S133_L001_R1	(15.0, 25.0)	(16.0, 469.0)	(17.0, 1506.0)	(18.0, 1996.0)	(19.0, 1785.0)	(20.0, 1942.0)	(21.0, 2009.0)	(22.0, 2170.0)	(23.0, 2351.0)	(24.0, 2520.0)	(25.0, 2853.0)	(26.0, 3229.0)	(27.0, 3839.0)	(28.0, 5093.0)	(29.0, 7865.0)	(30.0, 13993.0)	(31.0, 36552.0)	(32.0, 87788.0)	(33.0, 168015.0)	(34.0, 32651.0)
Yell_July18_Site5bb_S133_L001_R2	(15.0, 163.0)	(16.0, 785.0)	(17.0, 1648.0)	(18.0, 2345.0)	(19.0, 2712.0)	(20.0, 2637.0)	(21.0, 2548.0)	(22.0, 2835.0)	(23.0, 3304.0)	(24.0, 3642.0)	(25.0, 4095.0)	(26.0, 4895.0)	(27.0, 5956.0)	(28.0, 8053.0)	(29.0, 12837.0)	(30.0, 24618.0)	(31.0, 50273.0)	(32.0, 72554.0)	(33.0, 156568.0)	(34.0, 16183.0)
Yell_July18_Site5c_S89_L001_R1	(15.0, 3.0)	(16.0, 79.0)	(17.0, 213.0)	(18.0, 287.0)	(19.0, 345.0)	(20.0, 330.0)	(21.0, 340.0)	(22.0, 412.0)	(23.0, 430.0)	(24.0, 456.0)	(25.0, 544.0)	(26.0, 634.0)	(27.0, 789.0)	(28.0, 1090.0)	(29.0, 1829.0)	(30.0, 3341.0)	(31.0, 7433.0)	(32.0, 12440.0)	(33.0, 27566.0)	(34.0, 2723.0)
Yell_July18_Site5c_S89_L001_R2	(15.0, 38.0)	(16.0, 131.0)	(17.0, 805.0)	(18.0, 881.0)	(19.0, 288.0)	(20.0, 297.0)	(21.0, 254.0)	(22.0, 304.0)	(23.0, 342.0)	(24.0, 473.0)	(25.0, 500.0)	(26.0, 628.0)	(27.0, 804.0)	(28.0, 1134.0)	(29.0, 1829.0)	(30.0, 3608.0)	(31.0, 7350.0)	(32.0, 10917.0)	(33.0, 28094.0)	(34.0, 2607.0)
Yell_July18_Site5cc_S134_L001_R1	(15.0, 19.0)	(16.0, 373.0)	(17.0, 1289.0)	(18.0, 1747.0)	(19.0, 1741.0)	(20.0, 1955.0)	(21.0, 2122.0)	(22.0, 2270.0)	(23.0, 2433.0)	(24.0, 2758.0)	(25.0, 3036.0)	(26.0, 3522.0)	(27.0, 4657.0)	(28.0, 7652.0)	(29.0, 14708.0)	(30.0, 17645.0)	(31.0, 36328.0)	(32.0, 81489.0)	(33.0, 198099.0)	(34.0, 39381.0)
Yell_July18_Site5cc_S134_L001_R2	(15.0, 286.0)	(16.0, 1483.0)	(17.0, 9827.0)	(18.0, 13703.0)	(19.0, 3980.0)	(20.0, 2712.0)	(21.0, 2411.0)	(22.0, 2692.0)	(23.0, 3107.0)	(24.0, 3556.0)	(25.0, 4075.0)	(26.0, 4885.0)	(27.0, 6069.0)	(28.0, 7927.0)	(29.0, 12430.0)	(30.0, 22527.0)	(31.0, 41354.0)	(32.0, 65467.0)	(33.0, 196952.0)	(34.0, 17781.0)
Yell_July18_Site5e_S95_L001_R1	(15.0, 15.0)	(16.0, 297.0)	(17.0, 1041.0)	(18.0, 1436.0)	(19.0, 1386.0)	(20.0, 1500.0)	(21.0, 1595.0)	(22.0, 1690.0)	(23.0, 1802.0)	(24.0, 2026.0)	(25.0, 2127.0)	(26.0, 2311.0)	(27.0, 2592.0)	(28.0, 3470.0)	(29.0, 4934.0)	(30.0, 8254.0)	(31.0, 15091.0)	(32.0, 33144.0)	(33.0, 222910.0)	(34.0, 40327.0)
Yell_July18_Site5e_S95_L001_R2	(15.0, 69.0)	(16.0, 278.0)	(17.0, 488.0)	(18.0, 979.0)	(19.0, 1527.0)	(20.0, 1769.0)	(21.0, 1848.0)	(22.0, 2025.0)	(23.0, 2149.0)	(24.0, 2510.0)	(25.0, 2924.0)	(26.0, 3344.0)	(27.0, 3515.0)	(28.0, 4292.0)	(29.0, 6021.0)	(30.0, 10156.0)	(31.0, 18962.0)	(32.0, 42631.0)	(33.0, 221788.0)	(34.0, 20673.0)
Yell_July18_Site5ee_S136_L001_R1	(15.0, 12.0)	(16.0, 245.0)	(17.0, 865.0)	(18.0, 1077.0)	(19.0, 1154.0)	(20.0, 1195.0)	(21.0, 1459.0)	(22.0, 1492.0)	(23.0, 1632.0)	(24.0, 1846.0)	(25.0, 1975.0)	(26.0, 2149.0)	(27.0, 2693.0)	(28.0, 3355.0)	(29.0, 5188.0)	(30.0, 9084.0)	(31.0, 19644.0)	(32.0, 42921.0)	(33.0, 177201.0)	(34.0, 44913.0)
Yell_July18_Site5ee_S136_L001_R2	(15.0, 127.0)	(16.0, 628.0)	(17.0, 1910.0)	(18.0, 2334.0)	(19.0, 1658.0)	(20.0, 1643.0)	(21.0, 1519.0)	(22.0, 1636.0)	(23.0, 2086.0)	(24.0, 2465.0)	(25.0, 2845.0)	(26.0, 3332.0)	(27.0, 3972.0)	(28.0, 5078.0)	(29.0, 7412.0)	(30.0, 13147.0)	(31.0, 24701.0)	(32.0, 46049.0)	(33.0, 178854.0)	(34.0, 18704.0)
Yell_July18_Site5f_S96_L001_R1	(15.0, 6.0)	(16.0, 51.0)	(17.0, 99.0)	(18.0, 118.0)	(19.0, 138.0)	(20.0, 126.0)	(21.0, 148.0)	(22.0, 143.0)	(23.0, 178.0)	(24.0, 203.0)	(25.0, 303.0)	(26.0, 353.0)	(27.0, 574.0)	(28.0, 715.0)	(29.0, 897.0)	(30.0, 1104.0)	(31.0, 1206.0)	(32.0, 1123.0)	(33.0, 1050.0)	(34.0, 38.0)
Yell_July18_Site5f_S96_L001_R2	(15.0, 8.0)	(16.0, 16.0)	(17.0, 130.0)	(18.0, 162.0)	(19.0, 54.0)	(20.0, 25.0)	(21.0, 41.0)	(22.0, 39.0)	(23.0, 39.0)	(24.0, 44.0)	(25.0, 56.0)	(26.0, 87.0)	(27.0, 127.0)	(28.0, 161.0)	(29.0, 340.0)	(30.0, 588.0)	(31.0, 1030.0)	(32.0, 1348.0)	(33.0, 4080.0)	(34.0, 198.0)
Yell_July18_Site5ff_S137_L001_R1	(15.0, 21.0)	(16.0, 559.0)	(17.0, 1423.0)	(18.0, 1937.0)	(19.0, 1910.0)	(20.0, 1940.0)	(21.0, 2189.0)	(22.0, 2390.0)	(23.0, 2592.0)	(24.0, 2848.0)	(25.0, 3050.0)	(26.0, 3707.0)	(27.0, 4556.0)	(28.0, 6363.0)	(29.0, 9978.0)	(30.0, 18651.0)	(31.0, 43429.0)	(32.0, 87113.0)	(33.0, 195140.0)	(34.0, 31121.0)
Yell_July18_Site5ff_S137_L001_R2	(15.0, 199.0)	(16.0, 1007.0)	(17.0, 3202.0)	(18.0, 3921.0)	(19.0, 3211.0)	(20.0, 3093.0)	(21.0, 2883.0)	(22.0, 3168.0)	(23.0, 3909.0)	(24.0, 4469.0)	(25.0, 5061.0)	(26.0, 5967.0)	(27.0, 7564.0)	(28.0, 10330.0)	(29.0, 16477.0)	(30.0, 29619.0)	(31.0, 55165.0)	(32.0, 73459.0)	(33.0, 171295.0)	(34.0, 16918.0)
Yell_July18_Site5g_S97_L001_R1	(15.0, 6.0)	(16.0, 91.0)	(17.0, 218.0)	(18.0, 289.0)	(19.0, 356.0)	(20.0, 365.0)	(21.0, 398.0)	(22.0, 472.0)	(23.0, 573.0)	(24.0, 690.0)	(25.0, 878.0)	(26.0, 1102.0)	(27.0, 1519.0)	(28.0, 2269.0)	(29.0, 3662.0)	(30.0, 7645.0)	(31.0, 21978.0)	(32.0, 46867.0)	(33.0, 17311.0)	(34.0, 92.0)
Yell_July18_Site5g_S97_L001_R2	(15.0, 55.0)	(16.0, 327.0)	(17.0, 836.0)	(18.0, 1035.0)	(19.0, 747.0)	(20.0, 821.0)	(21.0, 792.0)	(22.0, 913.0)	(23.0, 973.0)	(24.0, 1124.0)	(25.0, 1330.0)	(26.0, 1745.0)	(27.0, 2381.0)	(28.0, 3721.0)	(29.0, 6688.0)	(30.0, 14050.0)	(31.0, 29522.0)	(32.0, 32283.0)	(33.0, 7210.0)	(34.0, 228.0)
Yell_July18_Site5h_S98_L001_R1	(15.0, 15.0)	(16.0, 327.0)	(17.0, 1154.0)	(18.0, 1756.0)	(19.0, 1690.0)	(20.0, 1875.0)	(21.0, 2077.0)	(22.0, 2185.0)	(23.0, 2298.0)	(24.0, 2451.0)	(25.0, 2597.0)	(26.0, 2834.0)	(27.0, 3138.0)	(28.0, 4208.0)	(29.0, 6048.0)	(30.0, 9660.0)	(31.0, 16896.0)	(32.0, 35237.0)	(33.0, 237478.0)	(34.0, 41632.0)
Yell_July18_Site5h_S98_L001_R2	(15.0, 77.0)	(16.0, 309.0)	(17.0, 562.0)	(18.0, 1147.0)	(19.0, 1807.0)	(20.0, 1996.0)	(21.0, 1925.0)	(22.0, 2113.0)	(23.0, 2605.0)	(24.0, 3215.0)	(25.0, 3547.0)	(26.0, 3758.0)	(27.0, 4024.0)	(28.0, 5011.0)	(29.0, 6850.0)	(30.0, 11288.0)	(31.0, 20698.0)	(32.0, 48745.0)	(33.0, 233974.0)	(34.0, 21905.0)
Yell_July18_Site5k_S108_L001_R1	(15.0, 2.0)	(16.0, 33.0)	(17.0, 140.0)	(18.0, 208.0)	(19.0, 199.0)	(20.0, 228.0)	(21.0, 266.0)	(22.0, 264.0)	(23.0, 290.0)	(24.0, 345.0)	(25.0, 390.0)	(26.0, 431.0)	(27.0, 514.0)	(28.0, 712.0)	(29.0, 1128.0)	(30.0, 2149.0)	(31.0, 5313.0)	(32.0, 12853.0)	(33.0, 28951.0)	(34.0, 6763.0)
Yell_July18_Site5k_S108_L001_R2	(15.0, 61.0)	(16.0, 366.0)	(17.0, 1831.0)	(18.0, 2179.0)	(19.0, 775.0)	(20.0, 421.0)	(21.0, 418.0)	(22.0, 396.0)	(23.0, 502.0)	(24.0, 634.0)	(25.0, 663.0)	(26.0, 803.0)	(27.0, 1031.0)	(28.0, 1301.0)	(29.0, 2131.0)	(30.0, 3833.0)	(31.0, 6795.0)	(32.0, 9646.0)	(33.0, 25774.0)	(34.0, 1619.0)
Yell_July18_Site5m_S110_L001_R1	(15.0, 5.0)	(16.0, 63.0)	(17.0, 223.0)	(18.0, 337.0)	(19.0, 348.0)	(20.0, 363.0)	(21.0, 399.0)	(22.0, 415.0)	(23.0, 490.0)	(24.0, 595.0)	(25.0, 622.0)	(26.0, 698.0)	(27.0, 843.0)	(28.0, 1147.0)	(29.0, 1880.0)	(30.0, 3388.0)	(31.0, 8259.0)	(32.0, 22927.0)	(33.0, 61824.0)	(34.0, 16278.0)
Yell_July18_Site5m_S110_L001_R2	(15.0, 40.0)	(16.0, 287.0)	(17.0, 1054.0)	(18.0, 1187.0)	(19.0, 642.0)	(20.0, 625.0)	(21.0, 579.0)	(22.0, 661.0)	(23.0, 790.0)	(24.0, 894.0)	(25.0, 1050.0)	(26.0, 1199.0)	(27.0, 1528.0)	(28.0, 2054.0)	(29.0, 3369.0)	(30.0, 6482.0)	(31.0, 12903.0)	(32.0, 20276.0)	(33.0, 58024.0)	(34.0, 7460.0)
Yell_July18_Site5n_S115_L001_R1	(15.0, 6.0)	(16.0, 118.0)	(17.0, 306.0)	(18.0, 496.0)	(19.0, 512.0)	(20.0, 515.0)	(21.0, 593.0)	(22.0, 623.0)	(23.0, 670.0)	(24.0, 765.0)	(25.0, 840.0)	(26.0, 989.0)	(27.0, 1304.0)	(28.0, 1725.0)	(29.0, 2550.0)	(30.0, 4690.0)	(31.0, 9685.0)	(32.0, 19501.0)	(33.0, 57233.0)	(34.0, 6648.0)
Yell_July18_Site5n_S115_L001_R2	(15.0, 42.0)	(16.0, 203.0)	(17.0, 645.0)	(18.0, 776.0)	(19.0, 686.0)	(20.0, 668.0)	(21.0, 640.0)	(22.0, 709.0)	(23.0, 882.0)	(24.0, 1028.0)	(25.0, 1158.0)	(26.0, 1349.0)	(27.0, 1628.0)	(28.0, 2290.0)	(29.0, 3358.0)	(30.0, 6190.0)	(31.0, 11533.0)	(32.0, 18774.0)	(33.0, 53016.0)	(34.0, 4194.0)
Yell_July18_Site5o_S116_L001_R1	(15.0, 10.0)	(16.0, 105.0)	(17.0, 398.0)	(18.0, 499.0)	(19.0, 576.0)	(20.0, 598.0)	(21.0, 657.0)	(22.0, 699.0)	(23.0, 728.0)	(24.0, 846.0)	(25.0, 861.0)	(26.0, 1046.0)	(27.0, 1245.0)	(28.0, 1631.0)	(29.0, 2429.0)	(30.0, 4590.0)	(31.0, 11348.0)	(32.0, 22781.0)	(33.0, 50504.0)	(34.0, 8071.0)
Yell_July18_Site5o_S116_L001_R2	(15.0, 34.0)	(16.0, 178.0)	(17.0, 367.0)	(18.0, 551.0)	(19.0, 639.0)	(20.0, 701.0)	(21.0, 685.0)	(22.0, 728.0)	(23.0, 958.0)	(24.0, 1061.0)	(25.0, 1194.0)	(26.0, 1401.0)	(27.0, 1808.0)	(28.0, 2478.0)	(29.0, 3840.0)	(30.0, 7374.0)	(31.0, 14319.0)	(32.0, 19913.0)	(33.0, 47394.0)	(34.0, 3999.0)
Yell_July18_Site5p_S121_L001_R1	(15.0, 5.0)	(16.0, 95.0)	(17.0, 331.0)	(18.0, 478.0)	(19.0, 467.0)	(20.0, 580.0)	(21.0, 514.0)	(22.0, 664.0)	(23.0, 705.0)	(24.0, 766.0)	(25.0, 858.0)	(26.0, 966.0)	(27.0, 1213.0)	(28.0, 1468.0)	(29.0, 2369.0)	(30.0, 4259.0)	(31.0, 9817.0)	(32.0, 26430.0)	(33.0, 83992.0)	(34.0, 13592.0)
Yell_July18_Site5p_S121_L001_R2	(15.0, 81.0)	(16.0, 368.0)	(17.0, 1589.0)	(18.0, 1739.0)	(19.0, 882.0)	(20.0, 760.0)	(21.0, 781.0)	(22.0, 795.0)	(23.0, 979.0)	(24.0, 1141.0)	(25.0, 1393.0)	(26.0, 1573.0)	(27.0, 1910.0)	(28.0, 2681.0)	(29.0, 4051.0)	(30.0, 7563.0)	(31.0, 14747.0)	(32.0, 23811.0)	(33.0, 74861.0)	(34.0, 7864.0)
Yell_July18_Site5q_S122_L001_R1	(15.0, 20.0)	(16.0, 232.0)	(17.0, 474.0)	(18.0, 611.0)	(19.0, 729.0)	(20.0, 780.0)	(21.0, 853.0)	(22.0, 854.0)	(23.0, 984.0)	(24.0, 1250.0)	(25.0, 1606.0)	(26.0, 2178.0)	(27.0, 3097.0)	(28.0, 4965.0)	(29.0, 9073.0)	(30.0, 17795.0)	(31.0, 37537.0)	(32.0, 54243.0)	(33.0, 18670.0)	(34.0, 1135.0)
Yell_July18_Site5q_S122_L001_R2	(15.0, 61.0)	(16.0, 334.0)	(17.0, 1676.0)	(18.0, 2170.0)	(19.0, 869.0)	(20.0, 798.0)	(21.0, 789.0)	(22.0, 888.0)	(23.0, 968.0)	(24.0, 1163.0)	(25.0, 1531.0)	(26.0, 2091.0)	(27.0, 2893.0)	(28.0, 4680.0)	(29.0, 8659.0)	(30.0, 18199.0)	(31.0, 37719.0)	(32.0, 44735.0)	(33.0, 25633.0)	(34.0, 1230.0)
Yell_July18_Site5r_S123_L001_R1	(15.0, 5.0)	(16.0, 162.0)	(17.0, 469.0)	(18.0, 670.0)	(19.0, 735.0)	(20.0, 747.0)	(21.0, 841.0)	(22.0, 929.0)	(23.0, 1032.0)	(24.0, 1114.0)	(25.0, 1248.0)	(26.0, 1308.0)	(27.0, 1593.0)	(28.0, 2095.0)	(29.0, 3101.0)	(30.0, 5480.0)	(31.0, 11626.0)	(32.0, 29065.0)	(33.0, 107141.0)	(34.0, 26370.0)
Yell_July18_Site5r_S123_L001_R2	(15.0, 48.0)	(16.0, 228.0)	(17.0, 604.0)	(18.0, 888.0)	(19.0, 1052.0)	(20.0, 1128.0)	(21.0, 1072.0)	(22.0, 1277.0)	(23.0, 1479.0)	(24.0, 1704.0)	(25.0, 1939.0)	(26.0, 2232.0)	(27.0, 2822.0)	(28.0, 3353.0)	(29.0, 5156.0)	(30.0, 9367.0)	(31.0, 18437.0)	(32.0, 31975.0)	(33.0, 102615.0)	(34.0, 8355.0)
Yell_July18_Site5s_S124_L001_R1	(15.0, 5.0)	(16.0, 125.0)	(17.0, 398.0)	(18.0, 537.0)	(19.0, 561.0)	(20.0, 641.0)	(21.0, 657.0)	(22.0, 626.0)	(23.0, 719.0)	(24.0, 823.0)	(25.0, 923.0)	(26.0, 1118.0)	(27.0, 1286.0)	(28.0, 1752.0)	(29.0, 2815.0)	(30.0, 4822.0)	(31.0, 11970.0)	(32.0, 28059.0)	(33.0, 59978.0)	(34.0, 14501.0)
Yell_July18_Site5s_S124_L001_R2	(15.0, 101.0)	(16.0, 449.0)	(17.0, 2568.0)	(18.0, 3868.0)	(19.0, 1477.0)	(20.0, 850.0)	(21.0, 685.0)	(22.0, 839.0)	(23.0, 1015.0)	(24.0, 1110.0)	(25.0, 1255.0)	(26.0, 1455.0)	(27.0, 1764.0)	(28.0, 2426.0)	(29.0, 3829.0)	(30.0, 7377.0)	(31.0, 14142.0)	(32.0, 22373.0)	(33.0, 59545.0)	(34.0, 5188.0)
Yell_July18_Site5u_S126_L001_R1	(15.0, 4.0)	(16.0, 100.0)	(17.0, 315.0)	(18.0, 439.0)	(19.0, 425.0)	(20.0, 471.0)	(21.0, 496.0)	(22.0, 494.0)	(23.0, 530.0)	(24.0, 611.0)	(25.0, 633.0)	(26.0, 757.0)	(27.0, 929.0)	(28.0, 1208.0)	(29.0, 1886.0)	(30.0, 3332.0)	(31.0, 7746.0)	(32.0, 17882.0)	(33.0, 40292.0)	(34.0, 7822.0)
Yell_July18_Site5u_S126_L001_R2	(15.0, 43.0)	(16.0, 165.0)	(17.0, 535.0)	(18.0, 694.0)	(19.0, 547.0)	(20.0, 520.0)	(21.0, 493.0)	(22.0, 555.0)	(23.0, 706.0)	(24.0, 780.0)	(25.0, 913.0)	(26.0, 1060.0)	(27.0, 1374.0)	(28.0, 1807.0)	(29.0, 2752.0)	(30.0, 5751.0)	(31.0, 11260.0)	(32.0, 15832.0)	(33.0, 37448.0)	(34.0, 3137.0)
Yell_July18_Site5v_S127_L001_R1	(15.0, 5.0)	(16.0, 109.0)	(17.0, 357.0)	(18.0, 462.0)	(19.0, 449.0)	(20.0, 524.0)	(21.0, 583.0)	(22.0, 568.0)	(23.0, 642.0)	(24.0, 745.0)	(25.0, 775.0)	(26.0, 875.0)	(27.0, 1017.0)	(28.0, 1343.0)	(29.0, 1938.0)	(30.0, 3317.0)	(31.0, 6658.0)	(32.0, 11537.0)	(33.0, 40389.0)	(34.0, 10381.0)
Yell_July18_Site5v_S127_L001_R2	(15.0, 48.0)	(16.0, 242.0)	(17.0, 463.0)	(18.0, 634.0)	(19.0, 727.0)	(20.0, 771.0)	(21.0, 688.0)	(22.0, 804.0)	(23.0, 854.0)	(24.0, 1095.0)	(25.0, 1153.0)	(26.0, 1203.0)	(27.0, 1487.0)	(28.0, 1885.0)	(29.0, 2680.0)	(30.0, 4241.0)	(31.0, 7161.0)	(32.0, 11139.0)	(33.0, 41279.0)	(34.0, 4120.0)
Yell_July18_Site5w_S128_L001_R1	(32.0, 5.0)	(33.0, 8.0)																		
Yell_July18_Site5w_S128_L001_R2	(31.0, 1.0)	(32.0, 5.0)	(33.0, 7.0)																	
Yell_July18_Site5z_S131_L001_R1	(15.0, 31.0)	(16.0, 619.0)	(17.0, 2063.0)	(18.0, 2793.0)	(19.0, 2604.0)	(20.0, 2792.0)	(21.0, 3006.0)	(22.0, 3097.0)	(23.0, 3485.0)	(24.0, 3742.0)	(25.0, 4066.0)	(26.0, 4852.0)	(27.0, 6059.0)	(28.0, 8090.0)	(29.0, 12672.0)	(30.0, 22474.0)	(31.0, 51460.0)	(32.0, 115072.0)	(33.0, 227816.0)	(34.0, 38389.0)
Yell_July18_Site5z_S131_L001_R2	(15.0, 218.0)	(16.0, 1248.0)	(17.0, 4503.0)	(18.0, 5376.0)	(19.0, 4087.0)	(20.0, 3943.0)	(21.0, 3869.0)	(22.0, 4433.0)	(23.0, 5106.0)	(24.0, 5776.0)	(25.0, 6569.0)	(26.0, 7522.0)	(27.0, 9454.0)	(28.0, 12763.0)	(29.0, 20705.0)	(30.0, 38957.0)	(31.0, 72656.0)	(32.0, 92340.0)	(33.0, 199684.0)	(34.0, 15973.0)
