Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Yell_July18_Site1ee_S142_L001_R1	(1.0, 11.36403391671807)	(2.0, 3.3879892099908853)	(3.0, 2.06179397711266)	(4.0, 1.539325532365424)	(5.0, 1.1761294064574337)	(6.0, 1.0219206584483378)	(7.0, 0.7959012695753045)	(8.0, 0.7733453631500934)	(9.0, 0.6172953166573067)	('>10', 8.526592953350704)	('>50', 9.709627229121978)	('>100', 30.731732017418683)	('>500', 1.4219427540301421)	('>1k', 15.813071377935719)	('>5k', 11.059299017667259)	('>10k+', 0.0)
Yell_July18_Site1ee_S142_L001_R2	(1.0, 13.69972104327972)	(2.0, 3.4404662167760702)	(3.0, 2.245463500860807)	(4.0, 1.7455509625387822)	(5.0, 1.3694657472449572)	(6.0, 1.215256999235861)	(7.0, 1.0472385125990848)	(8.0, 0.916966644877968)	(9.0, 0.8907281414853755)	('>10', 26.964895644408436)	('>50', 7.33849510674928)	('>100', 9.480845892523407)	('>500', 2.265257459560482)	('>1k', 18.575019103471767)	('>5k', 8.804629024387998)	('>10k+', 0.0)
Yell_July18_Site1f_S92_L001_R1	(1.0, 4.125329202693955)	(2.0, 1.359857099762398)	(3.0, 0.8694001647284523)	(4.0, 0.6765390755547722)	(5.0, 0.5948527442878884)	(6.0, 0.5348590487101356)	(7.0, 0.4768990377282388)	(8.0, 0.4772379851608814)	(9.0, 0.40266954997949367)	('>10', 6.748443383915588)	('>50', 2.851564750822795)	('>100', 9.281397548054272)	('>500', 4.460548213577556)	('>1k', 17.296148540322882)	('>5k', 19.173578369730638)	('>10k+', 30.670675284970056)
Yell_July18_Site1f_S92_L001_R2	(1.0, 2.960366876701092)	(2.0, 0.9144801732699276)	(3.0, 0.6680653897387054)	(4.0, 0.4907958824665883)	(5.0, 0.4355474509458328)	(6.0, 0.3843663886167894)	(7.0, 0.31556005979032714)	(8.0, 0.3606400683318024)	(9.0, 0.24404215150272343)	('>10', 4.641207195176101)	('>50', 2.1519772498483207)	('>100', 5.636017909982341)	('>500', 2.8088573743098184)	('>1k', 16.838569506255276)	('>5k', 15.5170134663815)	('>10k+', 45.63249285668285)
Yell_July18_Site1g_S93_L001_R1	(1.0, 7.615881201170928)	(2.0, 2.095651668185255)	(3.0, 1.1268247290774092)	(4.0, 0.8568714498962836)	(5.0, 0.680941395420972)	(6.0, 0.5728631525890313)	(7.0, 0.48174786266793324)	(8.0, 0.4226198553787101)	(9.0, 0.27916173933272587)	('>10', 10.41331446406762)	('>50', 9.786169862163892)	('>100', 21.527925867049223)	('>500', 2.037492972490937)	('>1k', 18.4964038539829)	('>5k', 6.4905104394858775)	('>10k+', 17.115619487040306)
Yell_July18_Site1g_S93_L001_R2	(1.0, 8.289068103832658)	(2.0, 2.1082527189190237)	(3.0, 1.3972626640559875)	(4.0, 1.0371634065486692)	(5.0, 0.9087296202237172)	(6.0, 0.9828819572339725)	(7.0, 0.8752883701994844)	(8.0, 0.7754492759242386)	(9.0, 0.8113138049357347)	('>10', 16.134676152996143)	('>50', 3.2573716146792546)	('>100', 10.576643467809161)	('>500', 3.9194114339995734)	('>1k', 15.771184304906654)	('>5k', 4.0832250935385686)	('>10k+', 29.072078010197156)
Yell_July18_Site1h_S94_L001_R1	(1.0, 9.278872468527641)	(2.0, 2.94471811713191)	(3.0, 1.9088669950738917)	(4.0, 1.7788724685276411)	(5.0, 1.3136288998357963)	(6.0, 1.2315270935960592)	(7.0, 1.4655172413793103)	(8.0, 0.8976464148877941)	(9.0, 1.0714285714285714)	('>10', 11.670771756978654)	('>50', 3.3087027914614118)	('>100', 15.926382047071701)	('>500', 10.66776135741653)	('>1k', 36.53530377668309)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1h_S94_L001_R2	(1.0, 9.967159277504106)	(2.0, 3.456486042692939)	(3.0, 2.1592775041050905)	(4.0, 1.4121510673234812)	(5.0, 1.2246852764094143)	(6.0, 0.8292282430213466)	(7.0, 0.6417624521072797)	(8.0, 0.6130268199233717)	(9.0, 0.5788177339901478)	('>10', 8.498905309250135)	('>50', 2.909140667761357)	('>100', 10.634920634920634)	('>500', 6.587301587301588)	('>1k', 22.78598795840175)	('>5k', 12.281061850027367)	('>10k+', 15.420087575259988)
Yell_July18_Site1k_S100_L001_R1	(1.0, 10.694271481942714)	(2.0, 3.0233845302338453)	(3.0, 1.8187007056870068)	(4.0, 1.5186107651861076)	(5.0, 1.1242562612425626)	(6.0, 0.9755085097550851)	(7.0, 0.7022277570222776)	(8.0, 0.7195240071952401)	(9.0, 0.6693648816936488)	('>10', 10.924311609243116)	('>50', 5.526151930261519)	('>100', 21.16282689912827)	('>500', 5.918776809187768)	('>1k', 19.78258613532586)	('>5k', 0.0)	('>10k+', 15.439497716894977)
Yell_July18_Site1k_S100_L001_R2	(1.0, 10.04133803791338)	(2.0, 2.9749550297495504)	(3.0, 1.7512453300124533)	(4.0, 1.141552511415525)	(5.0, 0.8129237581292377)	(6.0, 0.7575757575757576)	(7.0, 0.7567109450671095)	(8.0, 0.5811540058115401)	(9.0, 0.39694894146948945)	('>10', 10.197869101978691)	('>50', 5.082503113325031)	('>100', 17.848000553480006)	('>500', 4.4330289193302885)	('>1k', 14.16908814169088)	('>5k', 4.83862598588626)	('>10k+', 24.216479867164797)
