Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Yell_July18_Site1h_S94_L001_R1	6.235632183908046	58.85194307608101
Yell_July18_Site1h_S94_L001_R2	15.420087575259988	53.2936507936508
Yell_July18_Site1k_S100_L001_R1	15.439497716894977	46.020997647709976
Yell_July18_Site1k_S100_L001_R2	13.835270513352704	50.45056731700567
Yell_July18_Site1m_S102_L001_R1	8.236533271094034	49.92788619783719
Yell_July18_Site1m_S102_L001_R2	16.56343321543774	45.434089181732766
Yell_July18_Site1n_S103_L001_R1	4.540383478615614	54.80971767781469
Yell_July18_Site1n_S103_L001_R2	11.719159777206084	51.92113961252508
Yell_July18_Site1o_S104_L001_R1	8.956058794028008	50.62931599861116
Yell_July18_Site1o_S104_L001_R2	18.417499324871724	43.205798387407896
Yell_July18_Site1p_S105_L001_R1	6.795599582348573	36.068893638354574
Yell_July18_Site1p_S105_L001_R2	14.68828804378555	33.31787872277067
Yell_July18_Site1q_S106_L001_R1	20.32051704807756	51.98575479786321
Yell_July18_Site1q_S106_L001_R2	41.1363186704478	39.09846336476951
Yell_July18_Site1r_S111_L001_R1	17.302694079478034	48.103867548560956
Yell_July18_Site1r_S111_L001_R2	15.538905519009125	49.50677254177943
Yell_July18_Site1s_S112_L001_R1	5.381468327114148	55.27781524274803
Yell_July18_Site1s_S112_L001_R2	11.989789546773766	46.96458811011704
Yell_July18_Site1t_S113_L001_R1	12.258541963481123	48.19142455836526
Yell_July18_Site1t_S113_L001_R2	10.441156481420883	50.07828350206658
Yell_July18_Site1v_S117_L001_R1	10.520836687165287	45.61855393498396
Yell_July18_Site1v_S117_L001_R2	16.36187041866555	44.60435515202249
Yell_July18_Site1w_S118_L001_R1	11.0596345948988	54.17160774224671
Yell_July18_Site1w_S118_L001_R2	22.626273792535123	46.138423813639385
Yell_July18_Site1y_S120_L001_R1	10.150414276609306	55.625876354365836
Yell_July18_Site1y_S120_L001_R2	23.582536647546206	41.61631612492033
Yell_July18_Site1z_S129_L001_R1	7.861464979064875	59.777834122540725
Yell_July18_Site1z_S129_L001_R2	19.2191986404161	53.48496165891166
Yell_July18_Site5J_S107_L001_R1	38.57142857142858	61.42857142857142
Yell_July18_Site5J_S107_L001_R2	31.428571428571427	68.57142857142857
Yell_July18_Site5L_S109_L001_R1	15.779423832996315	45.624037889068276
Yell_July18_Site5L_S109_L001_R2	16.641904322593447	43.338035496864926
Yell_July18_Site5a_S87_L001_R1	39.163162084072376	36.36847943943392
Yell_July18_Site5a_S87_L001_R2	32.93451078951822	44.94807368084586
Yell_July18_Site5aa_S132_L001_R1	10.658562405279568	53.734599382849126
Yell_July18_Site5aa_S132_L001_R2	18.66093061718305	44.5439422362227
Yell_July18_Site5b_S88_L001_R1	19.226481391158934	44.64379920965928
Yell_July18_Site5b_S88_L001_R2	16.56082338771488	48.02365049819336
Yell_July18_Site5bb_S133_L001_R1	10.533148624579457	54.8331684148031
Yell_July18_Site5bb_S133_L001_R2	19.400224289201134	42.09301405105877
Yell_July18_Site5c_S89_L001_R1	8.314742138774447	55.61562637398426
Yell_July18_Site5c_S89_L001_R2	11.014672116465013	49.37224185379993
Yell_July18_Site5cc_S134_L001_R1	11.231965947188007	48.093475722303836
Yell_July18_Site5cc_S134_L001_R2	21.489480920631333	41.43429577730063
Yell_July18_Site5e_S95_L001_R1	31.021516187412026	44.39918416592456
Yell_July18_Site5e_S95_L001_R2	28.765332797104364	53.95392261066904
Yell_July18_Site5ee_S136_L001_R1	10.811451825314101	60.58051791610233
Yell_July18_Site5ee_S136_L001_R2	17.447056840948953	55.82327938633994
Yell_July18_Site5f_S96_L001_R1	18.256827425915166	35.50261475886113
Yell_July18_Site5f_S96_L001_R2	18.710052295177224	41.278326554328885
Yell_July18_Site5ff_S137_L001_R1	7.614211993593926	54.57974968859363
Yell_July18_Site5ff_S137_L001_R2	13.49973308025387	44.83516222789015
Yell_July18_Site5g_S97_L001_R1	1.3935814763166023	44.68726309582861
Yell_July18_Site5g_S97_L001_R2	1.2195007814912913	30.39299184815671
Yell_July18_Site5h_S98_L001_R1	11.247814388707475	66.79547468682884
Yell_July18_Site5h_S98_L001_R2	30.940271933956616	54.228974885097394
